trackName,artistName,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
ALIEN SUPERSTAR,Beyoncé,Pop,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,1Hohk6AufHZOrrhMXZppax,215460,4
ALL MINE,Brent Faiyaz,R&B/Soul,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,3XgGQ1wjo5khvq2UImjyNF,216063,4
ALLERGIC,clide,Pop,0.609,0.428,11,-7.796,1,0.0244,0.538,0.0,0.064,0.627,96.071,6DP8InyxdyYChHb2tcV6ia,155200,4
AMAZING,Rex Orange County,Pop,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915,3OM6qQmdFV6uy61GIqpRtf,209200,4
AMNESIA (feat. Boy In Space),DREAMDNVR,R&B/Soul,0.708,0.42,9,-9.478,0,0.121,0.471,0.0,0.353,0.317,145.981,1UyDQh3HBJwL6IxR9mXipZ,175827,4
ANGOSTURA,keshi,R&B/Soul,0.536,0.659,6,-9.732,1,0.0483,0.406,0.004,0.107,0.199,170.035,38umMmZQdeoOG7Zojor4g3,171020,4
ANKLES,Jessie Reyez,R&B/Soul,0.514,0.749,8,-4.336,1,0.403,0.234,7.98e-05,0.19,0.416,179.623,3ZWHzPucGUZvgNleqllzdK,169240,3
ANUBIS,KUTE,Electronic/Dance Music,0.627,0.993,1,-1.304,1,0.0714,0.00142,0.254,0.239,0.58,109.975,1aqP9g3lLR8bpFtkCTm41N,131455,4
AVOID ME,KUTE,Electronic/Dance Music,0.656,0.964,6,-2.087,0,0.0964,0.123,0.813,0.78,0.965,114.007,5FX30idriKlEIRYTxpNf65,105789,4
AVOID ME 3,KUTE,Electronic/Dance Music,0.706,0.933,10,-0.096,1,0.0721,0.11,0.878,0.058,0.761,114.042,7dXyRgDZlQnA5OU1SPD1oe,120000,4
Aaftaab,The Local Train,Country,0.464,0.391,6,-9.884,1,0.0384,0.755,9.64e-05,0.105,0.418,106.887,4LtSTc3xANVhYeeN69nscM,233472,4
Aag Lage Chahe Basti Mai,Sirazee,Pop,0.613,0.551,9,-8.613,1,0.198,0.113,0.0,0.266,0.482,110.243,0gbNOv3x5M87aczFOIEzfp,142410,5
Aaj Bhi,Vishal Mishra,Pop,0.581,0.304,1,-9.707,0,0.0274,0.886,2.79e-05,0.103,0.0973,109.006,65jpYG7TQCh0T7TtKO4Rjj,241206,4
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,Pop,0.307,0.265,1,-14.701,0,0.0497,0.561,0.000517,0.398,0.0569,94.115,0muXl7VdnqjsMH3IDS2JFI,217976,1
Aaja We Mahiya,Imran Khan,Rap/Hip Hop,0.639,0.594,10,-6.497,1,0.0347,0.131,0.0,0.119,0.378,80.034,75Ak0cit8hV604Wjlq1gf2,232067,4
Aajkal Tere Mere Pyar Ke Charche,Suman Kalyanpur,Folk/International,0.556,0.792,9,-10.683,1,0.0715,0.858,0.007,0.596,0.776,98.554,2uiAZVVKqqYlM6KM9POTYq,309493,4
Aankhein Khuli,Jatin-Lalit,Pop,0.792,0.635,7,-13.94,0,0.0863,0.349,5.92e-06,0.324,0.648,122.004,16XEVyPh5NT31CAAqPbxQF,422713,4
Aap Ki Kashish,Himesh Reshammiya,Folk/International,0.69,0.78,8,-7.412,0,0.0489,0.117,0.0,0.0696,0.718,110.963,35Rrbt58ADLxyo1lu7xhZu,333653,4
Aasan Nahin Yahan,Arijit Singh,Folk/International,0.549,0.437,10,-7.169,0,0.0263,0.766,0.000407,0.133,0.236,93.976,06zJUeKU5KFy50Cho6pDcr,214470,4
